"node","degree_centrality","betweenness_centrality","closeness_centrality","clustering_coefficient"
"9963",1,0,0.538,0
"191",1,0,1,0
"2480",1,0,0.545,0
"7714",1,0,0.545,0
"4454",1,0,0.545,0
"3341",1,0,0.545,0
"5129",1,0,0.545,0
"230",1,0,0.545,0
"553",1,0,1,0
"9345",1,0,0.6,0
"1239",1,0,0.6,0
"8679",1,0,0.6,0
"10641",1,0,1,0
"1518",1,0,0.571,0
"6540",1,0,0.571,0
"4501",1,0,0.571,0
"10689",1,0,0.571,0
"4625",1,0,0.241,0
"2419",2,0,0.247,0
"11076",1,0,0.241,0
"7975",3,0.001,0.26,0.333
"3988",1,0,0.241,0
"9605",3,0.001,0.26,0.333
"4141",1,0,0.241,0
"7906",1,0,0.241,0
"8997",3,0.001,0.263,0.333
"632",1,0,0.241,0
"184",1,0,0.241,0
"1592",2,0.001,0.255,0
"8704",1,0,0.241,0
"3725",2,0,0.247,0
"7583",1,0,0.241,0
"6027",3,0.004,0.251,0.333
"7488",1,0,0.241,0
"9384",1,0,0.241,0
"6261",1,0,0.241,0
"1014",1,0,0.241,0
"10321",1,0,0.241,0
"8743",1,0,0.241,0
"2086",2,0,0.254,0
"7441",2,0,0.254,0
"1511",1,0,0.241,0
"10970",1,0,0.241,0
"9624",2,0,0.247,0
"7419",4,0.007,0.258,0.167
"8288",2,0,0.247,0
"5525",1,0,0.241,0
"8861",1,0,0.241,0
"9541",1,0,0.241,0
"5824",2,0,0.249,1
"5228",3,0.001,0.26,0.333
"615",2,0,0.249,1
"3937",1,0,0.241,0
"9278",2,0,0.249,1
"6684",1,0,0.241,0
"4778",1,0,0.241,0
"5021",1,0,0.171,0
"10010",1,0,0.171,0
"8099",1,0,0.171,0
"8877",1,0,0.171,0
"2722",1,0,0.171,0
"4174",2,0.001,0.233,0
"4203",1,0,0.171,0
"3061",1,0,0.212,0
"2022",1,0,0.212,0
"7084",1,0,0.212,0
"395",1,0,0.212,0
"6237",1,0,0.212,0
"7562",1,0,0.212,0
"3879",2,0.001,0.333,0
"8428",1,0,0.212,0
"6002",1,0,0.212,0
"3931",1,0,0.538,0
"8014",1,0,0.538,0
"2762",1,0,0.538,0
"8493",1,0,0.538,0
"4631",1,0,0.538,0
"4160",1,0,0.538,0
"4991",1,0,0.538,0
"294",1,0,1,0
"8893",1,0,0.6,0
"9525",1,0,0.6,0
"11416",1,0,0.6,0
"1635",1,0,0.667,0
"10838",1,0,0.667,0
"7586",1,0,0.667,0
"6600",1,0,0.667,0
"9306",1,0,0.172,0
"4641",2,0.003,0.262,0
"98",1,0,0.191,0
"5475",1,0,0.191,0
"2445",1,0,0.191,0
"5705",1,0,0.191,0
"9530",1,0,0.191,0
"7359",1,0,0.191,0
"3011",2,0.001,0.247,0
"3850",2,0,0.259,0
"11423",2,0,0.259,0
"3440",1,0,0.238,0
"882",1,0,0.238,0
"3332",2,0,0.243,1
"1045",1,0,0.238,0
"6392",1,0,0.238,0
"5741",1,0,0.238,0
"7163",1,0,0.238,0
"8422",2,0,0.259,0
"8425",1,0,0.238,0
"4990",3,0.001,0.25,0.333
"9851",1,0,0.238,0
"5694",2,0.028,0.241,0
"4368",1,0,0.238,0
"1189",1,0,0.238,0
"2899",2,0,0.259,0
"5393",1,0,0.238,0
"410",3,0.001,0.264,0
"10491",2,0,0.259,0
"8625",4,0.002,0.269,0.167
"5621",1,0,0.238,0
"846",1,0,0.238,0
"10496",1,0,0.238,0
"9468",1,0,0.238,0
"5749",2,0,0.245,0
"5876",2,0,0.245,0
"8159",1,0,0.238,0
"7779",1,0,0.238,0
"388",1,0,0.238,0
"10342",2,0.001,0.247,0
"4779",2,0,0.259,0
"6370",1,0,1,0
"8314",1,0,1,0
